k,hfa,regress,gd_mode,logloss,brier,acc
32,20,0.0,wfe,0.9630560200895038,0.570913342188025,0.5472719700124948
32,40,0.0,wfe,0.9631692772348575,0.5709958737412709,0.546438983756768
32,60,0.0,wfe,0.9633570194964463,0.571131784136929,0.5476884631403582
48,0,0.2,flat,0.9633585740020995,0.5713254376855265,0.5485214493960849
48,20,0.2,flat,0.9633755154639583,0.571340149580867,0.5460224906289046
48,40,0.2,flat,0.9634341166115098,0.5713841106824207,0.5460224906289046
80,80,0.0,wfe,0.9634439896789985,0.5711749781303802,0.5564348188254894
48,0,0.1,flat,0.9634508169362425,0.5713277085037887,0.5456059975010412
80,100,0.0,wfe,0.9634575636330793,0.571186739211544,0.5556018325697626
40,0,0.2,flat,0.9634584955477001,0.5714092976227447,0.5481049562682215
80,60,0.0,wfe,0.9634594366353463,0.5711832272535589,0.5556018325697626
48,20,0.1,flat,0.9634809461118722,0.5713512007647199,0.5456059975010412
40,20,0.2,flat,0.9634901651847801,0.5714339064247945,0.5481049562682215
80,40,0.0,wfe,0.9635000692058737,0.571208607013513,0.5547688463140358
48,60,0.2,flat,0.9635352330376763,0.5714580205369383,0.5460224906289046
56,0,0.1,flat,0.9635516116282314,0.5714018207469866,0.546438983756768
48,40,0.1,flat,0.9635563149207044,0.5714063844683157,0.5451895043731778
80,20,0.0,wfe,0.9635615572497903,0.5712479314500098,0.5526863806747189
56,20,0.1,flat,0.9635658366468007,0.5714146019584301,0.546438983756768
40,40,0.2,flat,0.9635724776231196,0.5714946142720669,0.5476884631403582
56,0,0.2,flat,0.9635915643434257,0.5714872855715287,0.5472719700124948
56,20,0.2,flat,0.9635923963149068,0.5714910847064937,0.5472719700124948
56,40,0.1,flat,0.9636159707167649,0.5714521740445513,0.5447730112453144
32,80,0.0,wfe,0.9636175962388142,0.5713200339435622,0.5472719700124948
56,40,0.2,flat,0.9636266471312132,0.5715179855049826,0.546438983756768
80,0,0.0,wfe,0.963639409053017,0.5712979672947043,0.5518533944189921
48,60,0.1,flat,0.9636777043832164,0.5714938991998577,0.5460224906289046
48,80,0.2,flat,0.9636792432880562,0.571562283664234,0.546438983756768
56,60,0.2,flat,0.9636958525679931,0.5715691709357351,0.546438983756768
56,60,0.1,flat,0.9637035724851732,0.5715157209045759,0.5460224906289046
40,60,0.2,flat,0.9637056720793802,0.5715916821416231,0.5460224906289046
48,0,0.3,flat,0.9637490263203572,0.5715996639679782,0.5439400249895877
40,0,0.1,flat,0.9637497831101368,0.5715456005472133,0.5460224906289046
48,20,0.3,flat,0.9637499774550826,0.5716022945538043,0.5443565181174511
40,0,0.3,flat,0.9637535980256302,0.5716132806896266,0.5447730112453144
40,20,0.3,flat,0.9637702524441799,0.5716266141885628,0.5456059975010412
48,40,0.3,flat,0.9637905752618001,0.5716326683855735,0.5426905456059975
40,20,0.1,flat,0.9637935204921794,0.5715781877720294,0.5443565181174511
56,80,0.2,flat,0.9638011015837107,0.5716455458208134,0.5472719700124948
56,80,0.1,flat,0.963829845906366,0.57160620872962,0.5468554768846314
40,40,0.3,flat,0.96383414381574,0.5716735513543598,0.5456059975010412
48,80,0.1,flat,0.9638455120358177,0.5716141550398426,0.5456059975010412
48,100,0.2,flat,0.9638660614522794,0.5716970080322439,0.546438983756768
48,60,0.3,flat,0.963871723680974,0.5716915441982893,0.5435235318617243
40,80,0.2,flat,0.9638894853948637,0.5717250616129602,0.5443565181174511
40,40,0.1,flat,0.963892862001599,0.5716503197143047,0.5439400249895877
64,20,0.1,flat,0.9639213497812621,0.5716729359332672,0.5481049562682215
64,0,0.1,flat,0.9639248366690172,0.5716722057247711,0.5497709287796751
56,100,0.2,flat,0.9639429953162405,0.5717476957761582,0.5476884631403582
64,40,0.1,flat,0.963945288028925,0.5716923007892257,0.5476884631403582
40,60,0.3,flat,0.9639456038935038,0.5717544389302701,0.5443565181174511
32,100,0.0,wfe,0.9639483462440968,0.5715588941585255,0.5481049562682215
48,80,0.3,flat,0.9639937321748393,0.5717793072479906,0.5418575593502707
56,100,0.1,flat,0.9639955630703024,0.5717243231531821,0.5468554768846314
64,60,0.1,flat,0.9639990138418865,0.5717320500798835,0.5485214493960849
56,20,0.3,flat,0.9640138239109179,0.5717886715071999,0.5435235318617243
56,0,0.3,flat,0.9640295484153973,0.571797459350757,0.5435235318617243
56,40,0.3,flat,0.9640305190750754,0.5718021876403316,0.5435235318617243
64,20,0.2,flat,0.9640371992770579,0.5718080859763183,0.5460224906289046
64,40,0.2,flat,0.9640464628482086,0.5718175293522892,0.5443565181174511
40,60,0.1,flat,0.9640478576457334,0.5717621276632231,0.5439400249895877
64,0,0.2,flat,0.9640537492567827,0.5718161744453821,0.546438983756768
32,0,0.2,flat,0.9640580789173547,0.5718665374007926,0.5439400249895877
48,100,0.1,flat,0.9640597197993013,0.5717673017271053,0.5447730112453144
56,60,0.3,flat,0.964081185426303,0.5718392274376404,0.5460224906289046
64,60,0.2,flat,0.9640838117378212,0.5718462084922713,0.5456059975010412
64,80,0.1,flat,0.9640845600868053,0.5717937268814635,0.5493544356518117
32,20,0.2,flat,0.9641032242205881,0.5719002267981073,0.5443565181174511
40,80,0.3,flat,0.9641043510992313,0.5718692372842029,0.5414410662224073
40,100,0.2,flat,0.9641231955755395,0.5718944128754282,0.5431070387338609
40,0,0.4,flat,0.9641440432801602,0.5718601039998811,0.5414410662224073
40,20,0.4,flat,0.9641448904071452,0.5718611525982652,0.5397750937109538
64,80,0.2,flat,0.9641510850142792,0.5718955558374508,0.5476884631403582
48,100,0.3,flat,0.9641563519691279,0.5718959822859184,0.5414410662224073
56,80,0.3,flat,0.9641667941836282,0.5719006444796838,0.5447730112453144
32,0,0.3,flat,0.9641748912775183,0.5719405184515063,0.5426905456059975
48,20,0.4,flat,0.9641759778366354,0.5718812528319477,0.5422740524781341
40,40,0.4,flat,0.9641902522841369,0.5718936229208395,0.538942107455227
48,0,0.4,flat,0.9641914706542992,0.5718914552495431,0.5435235318617243
48,40,0.4,flat,0.9641986144570883,0.5718975026106061,0.5422740524781341
64,100,0.1,flat,0.9642035213331269,0.5718785818207018,0.5476884631403582
32,20,0.3,flat,0.9642065612249453,0.5719641089989063,0.5414410662224073
32,40,0.2,flat,0.9642087732435433,0.5719776234342354,0.5443565181174511
64,100,0.2,flat,0.9642496225927655,0.5719666727357996,0.5493544356518117
40,80,0.1,flat,0.9642581452763693,0.5719134996971342,0.5439400249895877
48,60,0.4,flat,0.9642603071882023,0.5719409984261804,0.541024573094544
40,60,0.4,flat,0.9642805146407074,0.5719579167965254,0.5385256143273636
56,100,0.3,flat,0.9642877558797752,0.5719869264519126,0.5431070387338609
32,40,0.3,flat,0.964293297932181,0.572027511286834,0.5422740524781341
40,100,0.3,flat,0.9643095413703914,0.5720175425346548,0.5401915868388172
48,80,0.4,flat,0.964361281052045,0.5720120875353953,0.5385256143273636
32,60,0.2,flat,0.9643744271043946,0.5720986049546534,0.5435235318617243
40,80,0.4,flat,0.9644153207752035,0.5720539601339046,0.5385256143273636
32,60,0.3,flat,0.9644349573470646,0.5721307229206853,0.5414410662224073
32,0,0.4,flat,0.9644517695124075,0.5720953236343406,0.5406080799666806
56,40,0.4,flat,0.9644554925054234,0.5720847847479374,0.5447730112453144
56,20,0.4,flat,0.9644564034049643,0.5720851971277631,0.5435235318617243
32,20,0.4,flat,0.9644683621938258,0.5721072349120141,0.541024573094544
64,40,0.3,flat,0.9644695381180605,0.5721171985397456,0.5468554768846314
64,20,0.3,flat,0.9644773523256929,0.5721208934253945,0.5468554768846314
56,60,0.4,flat,0.9644878943992076,0.5721072612184502,0.5439400249895877
56,0,0.4,flat,0.9644890766041442,0.5721072599311188,0.5435235318617243
64,60,0.3,flat,0.9644895405331755,0.5721324734619935,0.5451895043731778
48,100,0.4,flat,0.9645011069312247,0.5721106894088042,0.538942107455227
64,0,0.3,flat,0.9645107401599708,0.5721418504345618,0.5460224906289046
40,20,0.5,flat,0.9645138364177572,0.5720939501952836,0.5406080799666806
40,100,0.1,flat,0.9645229532953802,0.5721040727568056,0.5435235318617243
40,0,0.5,flat,0.9645278231744651,0.572104530877186,0.5414410662224073
32,40,0.4,flat,0.9645356185606643,0.5721555318950072,0.5414410662224073
64,80,0.3,flat,0.9645390589881411,0.5721680821099511,0.5443565181174511
40,40,0.5,flat,0.9645419238708546,0.5721127565555169,0.5397750937109538
56,80,0.4,flat,0.9645544853923437,0.5721534338995375,0.5439400249895877
48,20,0.5,flat,0.9645788052409028,0.5721467676269951,0.5426905456059975
48,40,0.5,flat,0.9645849657243177,0.5721499064536628,0.5426905456059975
40,100,0.4,flat,0.9645936632028336,0.5721812525378661,0.5397750937109538
32,80,0.2,flat,0.9645993436131324,0.5722627039986626,0.5426905456059975
48,0,0.5,flat,0.9646093650485275,0.572168842014894,0.5426905456059975
40,60,0.5,flat,0.964612453607748,0.5721613498871471,0.5385256143273636
64,100,0.3,flat,0.9646192058048649,0.5722250006648434,0.5447730112453144
48,60,0.5,flat,0.9646287571313769,0.5721790531389372,0.5418575593502707
32,80,0.3,flat,0.9646307317088186,0.5722733112581174,0.541024573094544
32,60,0.4,flat,0.9646534542219423,0.5722402665077606,0.5401915868388172
56,100,0.4,flat,0.9646554794488135,0.5722236742677239,0.5426905456059975
32,0,0.1,flat,0.9646568923975165,0.5722140074614303,0.5393586005830904
48,80,0.5,flat,0.9647102811210919,0.5722344778491802,0.5418575593502707
32,20,0.1,flat,0.9647116102252437,0.5722540085202235,0.5397750937109538
