date,sezon,takim,elo
2012-01-29,2011-2012,Mormenekşe GBSK,1504.7779704534164
2012-01-29,2011-2012,Türkmenköy ASK,1453.7349974103197
2012-01-29,2011-2012,Esentepe KSKK,1468.576928520761
2012-01-29,2011-2012,Yeniboğaziçi DSK,1324.204400426656
2012-01-29,2011-2012,Binatlı YSK,1377.1110734640329
2012-01-29,2011-2012,Görneç KSK,1418.1196673204297
2012-01-29,2011-2012,Alsancak Yeşilova SK,1294.8876455936743
2012-01-29,2011-2012,Gençlik Gücü TSK,1543.863591428292
2012-02-03,2011-2012,Çetinkaya TSK,1626.064074148729
2012-02-03,2011-2012,Cihangir GSK,1445.2877597798504
2012-02-04,2011-2012,Lapta Türk Birliği SK,1320.9452145425864
2012-02-04,2011-2012,Küçük Kaymaklı TSK,1586.0137131136717
2012-02-04,2011-2012,Göçmenköy İYSK,1319.219018449437
2012-02-04,2011-2012,Mağusa Türk Gücü,1532.4068690047213
2012-02-04,2011-2012,Düzkaya KOSK,1263.9109214659384
2012-02-04,2011-2012,Yenicami AK,1498.1454794967117
2012-02-04,2011-2012,Görneç KSK,1455.7999163194736
2012-02-04,2011-2012,Mormenekşe GBSK,1467.0977214543725
2012-02-04,2011-2012,Ozanköy SK,1348.7736306337029
2012-02-04,2011-2012,Alsancak Yeşilova SK,1301.56189627824
2012-02-04,2011-2012,Baf Ülkü Yurdu,1299.324048509885
2012-02-04,2011-2012,Esentepe KSKK,1441.0881829836687
2012-02-05,2011-2012,Türk Ocağı Limasol SK,1388.9346793507825
2012-02-05,2011-2012,Bellapais Tatlısu HOSK,1341.8638355919134
2012-02-05,2011-2012,Gönyeli SK,1273.6642103458823
2012-02-05,2011-2012,Doğan Türk Birliği,1459.527521408002
2012-02-05,2011-2012,Bostancı Bağcıl SK,1393.7157681234826
2012-02-05,2011-2012,Lefke TSK,1463.2698266239627
2012-02-05,2011-2012,Gençlik Gücü TSK,1559.8592658487473
2012-02-05,2011-2012,Binatlı YSK,1361.1153990435776
2012-02-05,2011-2012,Türkmenköy ASK,1453.3532916540078
2012-02-05,2011-2012,Serdarlı GB,1507.4849897447448
