TEAMS
Çetinkaya TSK
Küçük Kaymaklı TSK
Lapta Türk Birliği SK
Bellapais Tatlısu HOSK
Bostancı Bağcıl SK
Doğan Türk Birliği
Düzkaya KOSK
Mağusa Türk Gücü
Görneç KSK
Binatlı YSK
Ozanköy SK
Çanakkale TSK
Gençlik Gücü TSK
Alsancak Yeşilova SK
Türk Ocağı Limasol SK
Lefke TSK
Gönyeli SK
Yenicami AK
Göçmenköy İYSK
Cihangir GSK
Yonpaş Dumlupınar TSK
Hamitköy ŞHSK
Yeni Mesarya Türkmenköy ASK
Mormenekşe GBSK
Yeniboğaziçi DSK
Esentepe KSKK
Baf Ülkü Yurdu
Serdarlı GB
Yalova SK
Vadili TÇBSK
DND L. Gençler Birliği SK
Değirmenlik Spor Kulübü
Akıncılar GSK
Geçitkale GSK
Denizli SK
GAÜ Çetinkaya TSK
M. Karşıyaka ASK
Girne Halk Evi SK
Mehmetçik TÇBSK
German Gold Akova Vuda TÇBSK
Mesarya SK
Dipkarpaz SK
Maraş GSK
Doğancı SK
Dumlupınar TSK
Dörtyol SK
İncirli SK
China Bazaar Gençlik Gücü TSK
Değirmenlik SK
M. Hacıali Yılmazköy SK
Pera L. Gençler Birliği SK
Karşıyaka SK
Yenierenköy TSK
Kozanköy KSK
Aslanköy GSD
Kaplıca Karadeniz 61 SK
Çello Dikmen Gücü SK
Karaoğlanoğlu SK
Akdoğan SK
MATCHES
lg,date,time,mid,h,a,hg,ag,forfeit
1,20120212,1400,1878,0,2,1,0,0
1,20120212,1400,1879,5,6,0,4,0
2,20120212,1400,1961,21,26,1,0,0
2,20120212,1400,1962,9,10,2,0,0
2,20120212,1400,1963,23,27,0,1,0
1,20120218,1430,1887,18,5,1,1,0
1,20120218,1430,1888,2,19,6,1,0
1,20120218,1430,1892,6,15,3,1,0
1,20120218,1430,1893,7,17,1,0,0
2,20120218,1430,1972,10,8,0,2,0
2,20120218,1430,1973,24,13,0,0,0
1,20120219,1430,1889,4,1,0,1,0
1,20120219,1430,1890,16,3,3,4,0
1,20120219,1430,1891,14,0,1,2,0
2,20120219,1430,1971,22,21,0,1,0
2,20120219,1430,1974,20,9,3,0,0
2,20120219,1430,1975,27,25,2,1,0
2,20120219,1430,1976,12,23,4,1,0
2,20120219,1430,1977,26,11,1,1,0
1,20120224,1800,1901,0,4,3,1,0
1,20120225,1430,1902,1,16,3,0,0
1,20120225,1430,1903,3,6,1,3,0
1,20120225,1430,1904,2,14,1,1,0
2,20120225,1430,1985,9,24,2,2,0
2,20120225,1430,1986,23,25,0,0,0
2,20120225,1430,1988,8,20,0,2,0
1,20120226,1430,1905,5,7,2,2,0
1,20120226,1430,1906,15,18,5,0,0
1,20120226,1430,1907,19,17,2,1,0
2,20120226,1430,1987,12,10,7,1,0
2,20120226,1430,1989,11,22,1,2,0
2,20120226,1430,1990,13,26,1,1,0
2,20120226,1430,1991,21,27,0,0,0
1,20120229,1430,1894,18,5,0,3,0
1,20120302,1800,1915,17,5,0,2,0
1,20120303,1430,1916,16,0,2,7,0
1,20120303,1430,1917,7,15,1,2,0
1,20120303,1430,1918,14,19,1,3,0
2,20120303,1430,1999,24,8,1,1,0
2,20120303,1430,2000,22,13,2,2,0
2,20120303,1430,2001,26,9,1,1,0
1,20120304,1430,1919,4,2,1,1,0
1,20120304,1430,1920,6,1,0,2,0
1,20120304,1430,1921,18,3,2,1,0
2,20120304,1430,2002,20,12,1,5,0
2,20120304,1430,2003,27,11,5,0,0
2,20120304,1430,2004,10,23,0,1,0
2,20120304,1430,2005,25,21,1,2,0
1,20120310,1430,2017,2,16,1,0,0
1,20120310,1430,2018,1,18,4,0,0
1,20120310,1430,2019,3,7,2,3,0
1,20120310,1430,2020,15,17,0,3,0
2,20120310,1430,2073,12,24,2,1,0
2,20120310,1430,2074,8,26,2,1,0
2,20120310,1430,2075,13,27,1,1,0
2,20120310,1430,2076,11,25,1,2,0
1,20120311,1430,2021,14,4,0,3,0
1,20120311,1430,2022,0,6,0,0,0
1,20120311,1430,2023,19,5,4,3,0
2,20120311,1430,2077,10,20,1,0,0
2,20120311,1430,2078,9,22,0,0,0
2,20120311,1430,2079,23,21,2,0,0
1,20120317,1430,2031,7,1,3,0,0
1,20120317,1430,2032,5,15,1,1,0
1,20120317,1430,2033,4,19,2,1,0
1,20120317,1430,2034,18,0,0,4,0
